moniker,account,signedBlocks,signedBlocksPartOfTotal
Baygon,evmos1cywraleyjk5dlflkmlxxfwd2k988rqmnvt3x2k,275920,0.3498432856
Ramdani87,evmos1tkmslfldmjp2w07ay8x22c2xw4rzye0l032hzc,6642,0.0084214957
kangrekt,evmos17pn4wavf70m6kfmdyg6hkj5v3dduugm20aulkn,38358,0.0486347084
OxRafy,evmos1w7klf5wl48ftc5zse6x5tj72yjf3p8q3kl29fv,883,0.0011195695
rendydev,evmos14hm0lwscssxhj8kc2skte5m725ls47wqg54z7l,347189,0.4402063659
depil,evmos15xz523gfc7fyhrtk5ejt3l9qn2xwc6nfy7suuw,154135,0.1954301784
kennode,evmos1eedqnsft025u0hm4qylrl4qemm3d4m3m9h4acx,470377,0.5963983588
Andri,evmos1tn2mh284wfcfxd2d7me8uv59q265mrmt8vvs6s,5699,0.0072258512
Verified,evmos1cnc89njp84h38mldkarnh208gmc72srl7wsjuc,360435,0.4570011766
brianiac,evmos1azgfxpjqt42wnsvk3p89g95e9g0ydv79jmgwxt,64607,0.0819162262
PointDAO,evmos1zzjqzetwx2fyw0ug3gu9wyrezpcyteps38arc5,13181,0.0167123961
SaninLegend,evmos1e24pruydx903f4a4jdf4l9e8msjjdjnuyahn9q,553522,0.7018192053
nija,evmos1hdkhzu3c0h2826puptnd8rmqgfwy5qw44tsm65,93134,0.1180860559
<myvalidator>,evmos1cz3s26sdznwslus4gtedvueqlz9z3vhr80pcm0,265778,0.3369840851
0XFANI,evmos1c6ukyy6wtrl65n8488cvn5zq5c66llhsgyz9qh,510106,0.6467713795
fajarlis,evmos1kppvv2pvalrtzcwy26595l4pzxmuql9f3nv9wy,64751,0.0820988061
tobeoren,evmos1tmuv254dhq68q3jsjazf6nw2at47t227zsp2gs,552803,0.700907574
eevaleeth,evmos1yhxcrap704d0n26l8u9yygu95mqrep7knzmrdr,327842,0.4156760019
dinca,evmos103jp3fkxk3rmspvcm0tjxxwehm97yysq8vhkp7,34748,0.0440575329
Bangyan,evmos1rrtgehnm48d54d7dk5n4v82555x36rr43hq0nt,357256,0.4529704727
refangga,evmos195v6vd0z9lcw3d9yemu565t4gf8prnx4msrvty,318,0.0004031971
Boboboy,evmos14njh2wd9zt7jtavz3s93xqckap32vxkk6sxz46,283243,0.3591282319
Sirius,evmos15x5ekzrd8tjdutha0d0mkztj7d2wass5ue7xgx,32003,0.0405771044
stylepatrick,evmos15w9mmc3a3346nflqhjthsnzt0ljxzycsl69pfl,242319,0.3072400519
kondenx,evmos1u7ln73m0erhepqfw9ata79qkpw7c3hrjgdsxn9,100309,0.1271833507
P-OPS Team,evmos10w02hm23zy08w7ycx70xtn7j59yfjl8k55u465,386451,0.4899872701
